"oktmo","value"
"87000",Республика Коми
"88000",Республика Марий Эл
"07000",Ставропольский край
"10000",Амурская область
"11800",Муниципальные районы и городские округа Ненецкого автономного округа
"11000",Архангельская область
"15000",Брянская область
"41000",Ленинградская область
"44000",Магаданская область
"28000",Тверская область
"33000",Кировская область
"05000",Приморский край
"71000",Тюменская область
"46000",Московская область
"22000",Нижегородская область
"19000",Вологодская область
"63000",Саратовская область
"01000",Алтайский край
"03000",Краснодарский край
"68000",Тамбовская область
"34000",Костромская область
"27000",Калининградская область
"20000",Воронежская область
"24000",Ивановская область
"18000",Волгоградская область
"25000",Иркутская область
"60000",Ростовская область
"04000",Красноярский край
"42000",Липецкая область
"61000",Рязанская область
"66000",Смоленская область
"84000",Республика Алтай
"71100",Ханты-Мансийский автономный округ — Югра (Тюменская область)
"71800",Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры
"77000",Чукотский автономный округ
"45000",Город Москва
"35000",Республика Крым
"36000",Самарская область
"30800",Территории с особым статусом — Корякский округ
"54000",Орловская область
"46530",Таймырский Долгано-Ненецкий район
"14000",Белгородская область
"46500",Эвенкийский район
"76000",Забайкальский край
"37000",Курганская область
"30000",Камчатский край
"50000",Новосибирская область
"12000",Астраханская область
"47000",Мурманская область
"49000",Новгородская область
"32000",Кемеровская область - Кузбасс
"67000",Город Севастополь
"53000",Оренбургская область
"08000",Хабаровский край
"52000",Омская область
"58000",Псковская область
"65000",Свердловская область
"76800",Территории с особым статусом — Агинский Бурятский округ
"57000",Пермский край
"56000",Пензенская область
"82000",Республика Дагестан
"71140",Ямало-Ненецкий автономный округ (Тюменская область)
"78000",Ярославская область
"75000",Челябинская область
"69000",Томская область
"83000",Кабардино-Балкарская Республика
"93000",Республика Тыва
"55000",Байконур
"71900",Муниципальные районы и городские округа Ямало-Ненецкого автономного округа
"79000",Республика Адыгея (Адыгея)
"80000",Республика Башкортостан
"95000",Республика Хакасия
"38000",Курская область
"26000",Республика Ингушетия
"81000",Республика Бурятия
"91000",Карачаево-Черкесская Республика
"92000",Республика Татарстан (Татарстан)
"90000",Республика Северная Осетия — Алания
"86000",Республика Карелия
"94000",Удмуртская Республика
"96000",Чеченская Республика
"85000",Республика Калмыкия
"70000",Тульская область
"97000",Чувашская Республика — Чувашия
"89000",Республика Мордовия
"99000",Еврейская автономная область
-1,Значение не определено
"98000",Республика Саха (Якутия)
"11100",Ненецкий автономный округ (Архангельская область)
"73000",Ульяновская область
"64000",Сахалинская область
"17000",Владимирская область
"29000",Калужская область
"40000",Город Санкт-Петербург город федерального значения
