"period_year","period_number","kod_zl","reg_num","zp"
2017,11,"902746211","090756399843",2000.0
2017,10,"902746211","090756399843",2000.0
2017,12,"902746211","090756399843",2000.0
2017,4,"142332545","090756399843",3750.0
2017,5,"142332545","090756399843",3750.0
2017,10,"142332545","090756399843",4000.0
2017,11,"142332545","090756399843",4000.0
2017,8,"142332545","090756399843",4000.0
2017,7,"142332545","090756399843",4000.0
2017,9,"142332545","090756399843",4000.0
2017,3,"142332545","090756399843",3750.0
2017,2,"142332545","090756399843",3750.0
2017,9,"229164464","073822473944",7900.0
2017,11,"229164464","073822473944",7900.0
2017,10,"229164464","073822473944",7900.0
2017,12,"229164464","073822473944",7900.0
2017,6,"984771710","073822473944",7500.0
2017,5,"984771710","073822473944",7500.0
2017,4,"984771710","073822473944",7500.0
2017,10,"984771710","073822473944",7900.0
2017,12,"984771710","073822473944",7900.0
2017,11,"984771710","073822473944",7900.0
2017,9,"984771710","073822473944",7900.0
2017,8,"984771710","073822473944",7900.0
2017,7,"984771710","073822473944",7900.0
2017,2,"984771710","073822473944",7500.0
2017,3,"984771710","073822473944",7500.0
2017,1,"984771710","073822473944",7500.0
2017,9,"418814927","073822473944",7900.0
2017,12,"418814927","073822473944",7900.0
2017,11,"418814927","073822473944",7900.0
2017,10,"418814927","073822473944",7900.0
2017,6,"243485545","073822473944",7500.0
2017,5,"243485545","073822473944",7500.0
2017,4,"243485545","073822473944",7500.0
2017,10,"243485545","073822473944",7900.0
2017,11,"243485545","073822473944",7900.0
2017,12,"243485545","073822473944",7900.0
2017,9,"243485545","073822473944",7900.0
2017,7,"243485545","073822473944",7900.0
2017,8,"243485545","073822473944",7900.0
2017,1,"243485545","073822473944",7500.0
2017,3,"243485545","073822473944",7500.0
2017,2,"243485545","073822473944",7500.0
2017,8,"562334174","073822473944",7900.0
2017,9,"562334174","073822473944",7900.0
2017,7,"562334174","073822473944",7900.0
2017,2,"562334174","073822473944",7500.0
2017,3,"562334174","073822473944",7500.0
2017,1,"562334174","073822473944",7500.0
2017,10,"562334174","073822473944",7900.0
2017,11,"562334174","073822473944",7900.0
2017,12,"562334174","073822473944",7900.0
2017,6,"562334174","073822473944",7500.0
2017,5,"562334174","073822473944",7500.0
2017,4,"562334174","073822473944",7500.0
2017,9,"350342979","073822473944",7900.0
2017,11,"350342979","073822473944",7900.0
2017,12,"350342979","073822473944",7900.0
2017,10,"350342979","073822473944",7900.0
2017,10,"848646024","016943130304",28736.0
2017,12,"848646024","016943130304",28736.0
2017,5,"848646024","016943130304",28735.0
2017,4,"848646024","016943130304",28736.0
2017,6,"848646024","016943130304",28736.0
2017,11,"848646024","016943130304",29655.0
2017,3,"848646024","016943130304",28736.0
2017,1,"848646024","016943130304",28736.0
2017,2,"848646024","016943130304",28735.0
2017,9,"848646024","016943130304",28735.0
2017,8,"848646024","016943130304",29885.0
2017,7,"848646024","016943130304",28736.0
2017,3,"973470028","016943130304",28736.0
2017,1,"973470028","016943130304",25287.0
2017,2,"973470028","016943130304",28736.0
2017,8,"973470028","016943130304",31034.0
2017,9,"973470028","016943130304",32184.0
2017,7,"973470028","016943130304",20690.0
2017,5,"973470028","016943130304",31035.0
2017,4,"973470028","016943130304",28735.0
2017,6,"973470028","016943130304",16666.0
2017,10,"973470028","016943130304",28736.0
2017,12,"973470028","016943130304",29885.0
2017,11,"973470028","016943130304",33333.0
2017,2,"796612253","016943130304",28735.0
2017,3,"796612253","016943130304",28736.0
2017,1,"796612253","016943130304",28736.0
2017,6,"796612253","016943130304",17241.0
2017,5,"796612253","016943130304",28735.0
2017,7,"796612253","016943130304",3449.0
2017,8,"796612253","016943130304",11724.0
2017,4,"796612253","016943130304",28736.0
2017,4,"246864857","016943130304",15862.0
2017,6,"246864857","016943130304",16437.0
2017,5,"246864857","016943130304",16207.0
2017,7,"246864857","016943130304",15862.0
2017,9,"246864857","016943130304",4368.0
2017,8,"246864857","016943130304",13333.0
2017,3,"246864857","016943130304",14225.03
2017,1,"246864857","016943130304",15862.0
2017,2,"246864857","016943130304",9843.1
2017,10,"246864857","016943130304",14922.71
2017,12,"246864857","016943130304",15862.0
2017,11,"246864857","016943130304",15862.0
2017,1,"844232058","016943130304",5533.15
2017,2,"844232058","016943130304",6287.67
2017,12,"453451284","016943130304",16896.0
2017,11,"453451284","016943130304",18391.0
2017,10,"453451284","016943130304",18391.0
2017,3,"767143284","016943130304",28736.0
2017,2,"767143284","016943130304",28736.0
2017,1,"767143284","016943130304",31034.0
2017,10,"767143284","016943130304",31035.0
2017,12,"767143284","016943130304",30460.0
2017,11,"767143284","016943130304",22988.0
2017,5,"767143284","016943130304",31034.0
2017,6,"767143284","016943130304",28736.0
